W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,San Francisco 49ers,27.0,13.0,14.0,23.0,123.0,1.0,0.0,3.0,16.0,6.0,4.7,60.9,89.6,30.0,114.0,3.8,2.0,2.0,2.0,3.0,3.0,5.0,205.0,2.0,12.0,0.0,0.0,27:06,2020,nor,2020-11-15,0.7777777777777778
1,0,0,Atlanta Falcons,24.0,9.0,18.0,23.0,210.0,0.0,0.0,3.0,23.0,10.1,8.1,78.3,104.7,36.0,166.0,4.6,3.0,1.0,2.0,3.0,3.0,4.0,159.0,4.0,11.0,1.0,1.0,33:41,2020,nor,2020-11-22,0.8
1,0,1,Denver Broncos,31.0,3.0,9.0,16.0,63.0,0.0,1.0,3.0,15.0,4.9,3.3,56.3,39.3,44.0,229.0,5.2,4.0,1.0,1.0,4.0,4.0,6.0,274.0,7.0,15.0,0.0,0.0,35:46,2020,nor,2020-11-29,0.8181818181818182
1,0,1,Atlanta Falcons,21.0,16.0,27.0,37.0,217.0,2.0,0.0,2.0,15.0,6.3,5.6,73.0,105.3,36.0,207.0,5.8,1.0,0.0,1.0,3.0,3.0,5.0,199.0,8.0,17.0,2.0,3.0,36:54,2020,nor,2020-12-06,0.8333333333333334
0,0,1,Philadelphia Eagles,21.0,24.0,28.0,38.0,262.0,2.0,1.0,5.0,29.0,7.7,6.1,73.7,98.8,20.0,96.0,4.8,1.0,0.0,2.0,3.0,3.0,4.0,211.0,5.0,12.0,0.0,1.0,29:44,2020,nor,2020-12-13,0.7692307692307693
0,0,0,Kansas City Chiefs,29.0,32.0,15.0,34.0,225.0,3.0,1.0,1.0,9.0,6.9,6.4,44.1,83.6,17.0,60.0,3.5,1.0,0.0,0.0,3.0,3.0,8.0,378.0,1.0,11.0,1.0,1.0,18:46,2020,nor,2020-12-20,0.7142857142857143
1,0,0,Minnesota Vikings,52.0,33.0,21.0,28.0,319.0,0.0,2.0,0.0,0.0,11.4,11.4,75.0,82.3,45.0,264.0,5.9,7.0,1.0,1.0,7.0,7.0,0.0,0.0,5.0,9.0,1.0,1.0,36:47,2020,nor,2020-12-25,0.7333333333333333
1,0,1,Carolina Panthers,33.0,7.0,22.0,32.0,191.0,3.0,0.0,2.0,10.0,6.3,5.6,68.8,115.5,30.0,156.0,5.2,1.0,2.0,2.0,3.0,4.0,5.0,209.0,6.0,14.0,1.0,1.0,30:54,2020,nor,2020-01-03,0.75
1,0,0,Green Bay Packers,38.0,3.0,15.0,21.0,151.0,5.0,0.0,0.0,0.0,7.2,7.2,71.4,131.2,39.0,171.0,4.4,0.0,1.0,1.0,5.0,5.0,2.0,103.0,5.0,10.0,2.0,2.0,34:36,2021,nor,2021-09-12,1.0
0,0,1,Carolina Panthers,7.0,26.0,11.0,22.0,80.0,0.0,2.0,4.0,31.0,5.0,3.1,50.0,21.0,17.0,48.0,2.8,1.0,0.0,0.0,1.0,1.0,6.0,294.0,2.0,11.0,0.0,2.0,21:28,2021,nor,2021-09-19,0.5
1,0,1,New England Patriots,28.0,13.0,13.0,21.0,110.0,2.0,0.0,3.0,18.0,6.1,4.6,61.9,107.2,38.0,142.0,3.7,1.0,0.0,2.0,4.0,4.0,5.0,249.0,6.0,13.0,0.0,0.0,32:48,2021,nor,2021-09-26,0.6666666666666666
0,1,0,New York Giants,21.0,27.0,19.0,26.0,235.0,1.0,1.0,0.0,0.0,9.0,9.0,73.1,97.4,39.0,170.0,4.4,2.0,0.0,1.0,3.0,3.0,3.0,132.0,8.0,13.0,0.0,1.0,37:31,2021,nor,2021-10-03,0.5
1,0,1,Washington Football Team,33.0,22.0,15.0,30.0,271.0,4.0,1.0,2.0,8.0,9.3,8.5,50.0,107.1,23.0,98.0,4.3,1.0,0.0,0.0,3.0,5.0,5.0,268.0,4.0,11.0,1.0,1.0,23:34,2021,nor,2021-10-10,0.6
1,0,1,Seattle Seahawks,13.0,10.0,19.0,35.0,210.0,1.0,0.0,2.0,12.0,6.3,5.7,54.3,81.8,31.0,94.0,3.0,0.0,2.0,2.0,1.0,1.0,6.0,285.0,2.0,13.0,2.0,2.0,32:49,2021,nor,2021-10-25,0.6666666666666666
1,0,0,Tampa Bay Buccaneers,36.0,27.0,22.0,39.0,209.0,2.0,0.0,1.0,6.0,5.5,5.2,56.4,88.5,32.0,152.0,4.8,1.0,3.0,3.0,3.0,4.0,3.0,158.0,5.0,14.0,2.0,3.0,33:16,2021,nor,2021-10-31,0.7142857142857143
0,0,0,Atlanta Falcons,25.0,27.0,27.0,43.0,267.0,2.0,0.0,1.0,15.0,6.6,6.1,62.8,95.8,25.0,109.0,4.4,1.0,2.0,2.0,1.0,1.0,3.0,122.0,3.0,10.0,0.0,1.0,32:21,2021,nor,2021-11-07,0.625
0,0,1,Tennessee Titans,21.0,23.0,21.0,36.0,287.0,2.0,0.0,4.0,22.0,8.6,7.2,58.3,102.4,21.0,86.0,4.1,1.0,1.0,1.0,0.0,2.0,5.0,202.0,5.0,12.0,0.0,0.0,28:26,2021,nor,2021-11-14,0.5555555555555556
