W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,1,Kansas City Chiefs,31.0,24.0,23.0,33.0,256.0,3.0,0.0,5.0,49.0,9.2,6.7,69.7,122.8,26.0,118.0,4.5,1.0,1.0,1.0,4.0,4.0,3.0,106.0,8.0,13.0,0.0,0.0,33:13,2019,gnb,2019-10-27,0.875
0,0,1,Los Angeles Chargers,11.0,26.0,23.0,35.0,139.0,1.0,0.0,3.0,22.0,4.6,3.7,65.7,82.9,11.0,45.0,4.1,0.0,1.0,1.0,0.0,0.0,5.0,188.0,2.0,10.0,0.0,1.0,24:09,2019,gnb,2019-11-03,0.7777777777777778
1,0,0,Carolina Panthers,24.0,16.0,17.0,29.0,225.0,0.0,0.0,2.0,8.0,8.0,7.3,58.6,83.3,27.0,163.0,6.0,3.0,1.0,1.0,3.0,3.0,4.0,141.0,4.0,9.0,0.0,0.0,31:22,2019,gnb,2019-11-10,0.8
0,0,1,San Francisco 49ers,8.0,37.0,23.0,37.0,81.0,1.0,0.0,5.0,38.0,3.2,1.9,62.2,75.4,28.0,117.0,4.2,0.0,0.0,0.0,0.0,0.0,6.0,223.0,1.0,15.0,1.0,3.0,35:16,2019,gnb,2019-11-24,0.7272727272727273
1,0,1,New York Giants,31.0,13.0,21.0,33.0,243.0,4.0,0.0,0.0,0.0,7.4,7.4,63.6,125.4,26.0,79.0,3.0,0.0,1.0,1.0,4.0,4.0,3.0,140.0,7.0,13.0,1.0,1.0,28:43,2019,gnb,2019-12-01,0.75
1,0,0,Washington Redskins,20.0,15.0,18.0,28.0,167.0,1.0,0.0,4.0,28.0,7.0,5.2,64.3,92.4,28.0,174.0,6.2,1.0,2.0,2.0,2.0,2.0,4.0,161.0,5.0,13.0,2.0,2.0,30:24,2019,gnb,2019-12-08,0.7692307692307693
1,0,0,Chicago Bears,21.0,13.0,16.0,33.0,192.0,1.0,0.0,1.0,11.0,6.2,5.6,48.5,76.8,24.0,100.0,4.2,2.0,0.0,0.0,3.0,3.0,7.0,250.0,5.0,15.0,1.0,3.0,25:38,2019,gnb,2019-12-15,0.7857142857142857
1,0,1,Minnesota Vikings,23.0,10.0,26.0,40.0,199.0,0.0,1.0,3.0,17.0,5.4,4.6,65.0,66.6,32.0,184.0,5.8,2.0,3.0,3.0,0.0,1.0,5.0,234.0,5.0,14.0,0.0,0.0,37:32,2019,gnb,2019-12-23,0.8
1,0,1,Detroit Lions,23.0,20.0,27.0,55.0,312.0,2.0,1.0,1.0,11.0,5.9,5.6,49.1,71.2,30.0,120.0,4.0,0.0,3.0,4.0,2.0,2.0,5.0,221.0,8.0,20.0,2.0,2.0,34:56,2019,gnb,2019-12-29,0.8125
1,0,1,Minnesota Vikings,43.0,34.0,32.0,44.0,364.0,4.0,0.0,0.0,0.0,8.3,8.3,72.7,127.5,32.0,158.0,4.9,1.0,2.0,2.0,5.0,5.0,1.0,40.0,6.0,11.0,1.0,2.0,41:16,2020,gnb,2020-09-13,1.0
1,0,0,Detroit Lions,42.0,21.0,18.0,30.0,229.0,2.0,0.0,1.0,11.0,8.0,7.4,60.0,106.1,35.0,259.0,7.4,2.0,2.0,2.0,4.0,4.0,3.0,128.0,6.0,12.0,1.0,1.0,34:46,2020,gnb,2020-09-20,1.0
1,0,1,New Orleans Saints,37.0,30.0,21.0,32.0,271.0,3.0,0.0,1.0,12.0,8.8,8.2,65.6,123.3,26.0,98.0,3.8,1.0,3.0,3.0,4.0,4.0,1.0,38.0,5.0,11.0,1.0,2.0,31:40,2020,gnb,2020-09-27,1.0
1,0,0,Atlanta Falcons,30.0,16.0,27.0,33.0,315.0,4.0,0.0,1.0,12.0,9.9,9.3,81.8,146.0,26.0,88.0,3.4,0.0,1.0,1.0,3.0,4.0,2.0,81.0,6.0,11.0,1.0,2.0,29:38,2020,gnb,2020-10-05,1.0
0,0,1,Tampa Bay Buccaneers,10.0,38.0,16.0,35.0,107.0,0.0,2.0,5.0,53.0,4.6,2.7,45.7,29.1,21.0,94.0,4.5,1.0,1.0,1.0,1.0,1.0,7.0,325.0,7.0,17.0,0.0,0.0,31:37,2020,gnb,2020-10-18,0.8
